ID,Vendor,Text
0,Instagram Privacy,data policy this policy describes the information we process to support facebook instagram messenger and other product and feature offered by facebook facebook product or product
1,Instagram Privacy,you can find additional tool and information in the facebook setting and instagram setting
3,Instagram Privacy,what kind of information do we collect to provide the facebook product we must process information about you
4,Instagram Privacy,the type of information we collect depend on how you use our product
5,Instagram Privacy,you can learn how to access and delete information we collect by visiting the facebook setting and instagram setting
6,Instagram Privacy,thing you and others do and provide
7,Instagram Privacy,information and content you provide
8,Instagram Privacy,we collect the content communication and other information you provide when you use our product including when you sign up for an account create or share content and message or communicate with others
9,Instagram Privacy,this can include information in or about the content you provide like metadata such a the location of photo or the date file wa created
10,Instagram Privacy,it can also include what you see through feature we provide such a our camera so we can do thing like suggest mask and filter that you might like or give you tip on using camera format
11,Instagram Privacy,our system automatically process content and communication you and others provide to analyze context and what in them for the purpose described below
12,Instagram Privacy,learn more about how you can control who can see the thing you share
13,Instagram Privacy,data with special protection you can choose to provide information in your facebook profile field or life event about your religious view political view who you are interested in or your health
14,Instagram Privacy,this and other information such a racial or ethnic origin philosophical belief or trade union membership could be subject to special protection under the law of your country
15,Instagram Privacy,network and connection
16,Instagram Privacy,we collect information about the people page account hashtags and group you are connected to and how you interact with them across our product such a people you communicate with the most or group you are part of
17,Instagram Privacy,we also collect contact information if you choose to upload sync or import it from device such a an address book or call log or sm log history which we use for thing like helping you and others find people you may know and for the other purpose listed below
18,Instagram Privacy,your usage
19,Instagram Privacy,we collect information about how you use our product such a the type of content you view or engage with
20,Instagram Privacy,the feature you use
21,Instagram Privacy,the action you take
22,Instagram Privacy,the people or account you interact with
23,Instagram Privacy,and the time frequency and duration of your activity
24,Instagram Privacy,for example we log when you re using and have last used our product and what post video and other content you view on our product
25,Instagram Privacy,we also collect information about how you use feature like our camera
26,Instagram Privacy,information about transaction made on our product
27,Instagram Privacy,if you use our product for purchase or other financial transaction such a when you make purchase in game or make donation we collect information about the purchase or transaction
28,Instagram Privacy,this includes payment information such a your credit or debit card number and other card information
29,Instagram Privacy,other account and authentication information
30,Instagram Privacy,and billing shipping and contact detail
31,Instagram Privacy,thing others do and information they provide about you
32,Instagram Privacy,we also receive and analyze content communication and information that other people provide when they use our product
33,Instagram Privacy,this can include information about you such a when others share or comment on photo of you send message to you or upload sync or import your contact information
